video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
20,11,0.46,1,0.1,CROWD,2026-06-04 01:35:52
20,11,0.46,2,0.0,CROWD,2026-06-04 01:35:52
20,32,1.33,3,0.6,CROWD+FACE?,2026-06-04 01:35:56
20,35,1.46,4,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 01:35:57
20,42,1.75,5,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 01:35:58
20,69,2.88,1,2.5,CROWD+FACE?,2026-06-04 01:36:02
20,84,3.50,14,0.0,CROWD,2026-06-04 01:36:05
20,105,4.38,16,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-04 01:36:10
20,115,4.80,18,0.6,CROWD+FACE?,2026-06-04 01:36:12
20,187,7.80,23,0.0,CROWD,2026-06-04 01:36:26
