video,frame,timestamp_sec,track_id,time_in_roi_sec,reasons,wall_time
30a,29,1.16,1,0.2,CROWD,2026-06-03 10:59:37
30a,32,1.29,4,0.0,CROWD,2026-06-03 10:59:38
30a,39,1.57,1,0.6,TAMPER-POSE+CROWD,2026-06-03 10:59:41
30a,42,1.69,6,0.0,CROWD,2026-06-03 10:59:43
30a,43,1.73,3,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 10:59:43
30a,46,1.85,4,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 10:59:45
30a,56,2.25,6,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 10:59:49
30a,74,2.97,12,0.0,CROWD,2026-06-03 10:59:58
30a,88,3.53,12,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:00:06
30a,91,3.66,14,0.0,CROWD,2026-06-03 11:00:10
30a,102,4.10,17,0.0,CROWD,2026-06-03 11:00:18
30a,111,4.46,15,0.6,TAMPER-POSE+CROWD+FACE?,2026-06-03 11:00:24
